[00:59:40] [Átad][USA]Nagato_Brasco átadott neki: [Civil]Angelina_Freeman, egy Parachute-t
[03:23:45] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db MP5-t | Raktár Volt: 65 Lett: 66
[03:35:28] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -273 Lett: 127
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 172 Lett: 173
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 109 Lett: 110
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 127 Lett: 128
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 127 Lett: 128
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 127 Lett: 128
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 173 Lett: 174
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 128 Lett: 129
[03:35:29] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -271 Lett: 129
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 174 Lett: 175
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 110 Lett: 111
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 129 Lett: 130
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 129 Lett: 130
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 129 Lett: 130
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 175 Lett: 176
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 130 Lett: 131
[03:35:29] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -269 Lett: 131
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 176 Lett: 177
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 111 Lett: 112
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 131 Lett: 132
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 131 Lett: 132
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 131 Lett: 132
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 177 Lett: 178
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 132 Lett: 133
[03:35:29] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -267 Lett: 133
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 178 Lett: 179
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 112 Lett: 113
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 133 Lett: 134
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 133 Lett: 134
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 133 Lett: 134
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 179 Lett: 180
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 134 Lett: 135
[03:35:29] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -265 Lett: 135
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 180 Lett: 181
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 113 Lett: 114
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 135 Lett: 136
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 135 Lett: 136
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 135 Lett: 136
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 181 Lett: 182
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 136 Lett: 137
[03:35:29] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -263 Lett: 137
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 182 Lett: 183
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 114 Lett: 115
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 137 Lett: 138
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 137 Lett: 138
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 137 Lett: 138
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 183 Lett: 184
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 138 Lett: 139
[03:35:29] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -261 Lett: 139
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 184 Lett: 185
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 115 Lett: 116
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 139 Lett: 140
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 139 Lett: 140
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 139 Lett: 140
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 185 Lett: 186
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 140 Lett: 141
[03:35:29] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -259 Lett: 141
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 186 Lett: 187
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 116 Lett: 117
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 141 Lett: 142
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 141 Lett: 142
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 141 Lett: 142
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 187 Lett: 188
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 142 Lett: 143
[03:35:29] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -257 Lett: 143
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 188 Lett: 189
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 117 Lett: 118
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 143 Lett: 144
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 143 Lett: 144
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 143 Lett: 144
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 189 Lett: 190
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 144 Lett: 145
[03:35:29] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -255 Lett: 145
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 190 Lett: 191
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 118 Lett: 119
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 145 Lett: 146
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 145 Lett: 146
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 145 Lett: 146
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 191 Lett: 192
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 146 Lett: 147
[03:35:29] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -253 Lett: 147
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 192 Lett: 193
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 119 Lett: 120
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 147 Lett: 148
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 147 Lett: 148
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 147 Lett: 148
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 193 Lett: 194
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 148 Lett: 149
[03:35:29] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -251 Lett: 149
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 194 Lett: 195
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 120 Lett: 121
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 149 Lett: 150
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 149 Lett: 150
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 149 Lett: 150
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 195 Lett: 196
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 150 Lett: 151
[03:35:29] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -249 Lett: 151
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 196 Lett: 197
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 121 Lett: 122
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 151 Lett: 152
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 151 Lett: 152
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 151 Lett: 152
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 197 Lett: 198
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 152 Lett: 153
[03:35:29] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -247 Lett: 153
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 198 Lett: 199
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 122 Lett: 123
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 153 Lett: 154
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 153 Lett: 154
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 153 Lett: 154
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 199 Lett: 200
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 154 Lett: 155
[03:35:29] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -245 Lett: 155
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 200 Lett: 201
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 123 Lett: 124
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 155 Lett: 156
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 155 Lett: 156
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 155 Lett: 156
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 201 Lett: 202
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 156 Lett: 157
[03:35:29] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -243 Lett: 157
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 202 Lett: 203
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 124 Lett: 125
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 157 Lett: 158
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 157 Lett: 158
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 157 Lett: 158
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 203 Lett: 204
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 158 Lett: 159
[03:35:29] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -241 Lett: 159
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 204 Lett: 205
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 125 Lett: 126
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 159 Lett: 160
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 159 Lett: 160
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 159 Lett: 160
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 205 Lett: 206
[03:35:29] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 160 Lett: 161
[03:35:29] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -239 Lett: 161
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 206 Lett: 207
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 126 Lett: 127
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 161 Lett: 162
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 161 Lett: 162
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 161 Lett: 162
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 207 Lett: 208
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 162 Lett: 163
[03:35:31] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -237 Lett: 163
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 208 Lett: 209
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 127 Lett: 128
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 163 Lett: 164
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 163 Lett: 164
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 163 Lett: 164
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 209 Lett: 210
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 164 Lett: 165
[03:35:31] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -235 Lett: 165
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 210 Lett: 211
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 128 Lett: 129
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 165 Lett: 166
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 165 Lett: 166
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 165 Lett: 166
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 211 Lett: 212
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 166 Lett: 167
[03:35:31] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -233 Lett: 167
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 212 Lett: 213
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 129 Lett: 130
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 167 Lett: 168
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 167 Lett: 168
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 167 Lett: 168
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 213 Lett: 214
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 168 Lett: 169
[03:35:31] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -231 Lett: 169
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 214 Lett: 215
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 130 Lett: 131
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 169 Lett: 170
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 169 Lett: 170
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 169 Lett: 170
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 215 Lett: 216
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 170 Lett: 171
[03:35:31] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -229 Lett: 171
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 216 Lett: 217
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 131 Lett: 132
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 171 Lett: 172
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 171 Lett: 172
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 171 Lett: 172
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 217 Lett: 218
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 172 Lett: 173
[03:35:31] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -227 Lett: 173
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 218 Lett: 219
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 132 Lett: 133
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 173 Lett: 174
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 173 Lett: 174
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 173 Lett: 174
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 219 Lett: 220
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 174 Lett: 175
[03:35:31] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -225 Lett: 175
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 220 Lett: 221
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 133 Lett: 134
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 175 Lett: 176
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 175 Lett: 176
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 175 Lett: 176
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 221 Lett: 222
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 176 Lett: 177
[03:35:31] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -223 Lett: 177
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 222 Lett: 223
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 134 Lett: 135
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 177 Lett: 178
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 177 Lett: 178
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 177 Lett: 178
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 223 Lett: 224
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 178 Lett: 179
[03:35:31] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -221 Lett: 179
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 224 Lett: 225
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 135 Lett: 136
[03:35:31] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 179 Lett: 180
